INCIDENCE_LIST
    El-#  Node-i  Node-j  Node-m  Centroid-x  Centroid-y   Stiffness     Poisson     Unit-Wt    x-Strain    y-Strain   xy-Strain    x-Stress    y-Stress   xy-Stress     Sigma-1     Sigma-3
       1      78      25     125       44.07       48.34   1.000e+07   2.500e-01   2.000e+04  -4.183e-03  -3.964e-02  -8.418e-02   2.087e+05   4.924e+05   3.367e+05   7.159e+05  -1.482e+04
       2     113     114      48       82.57       36.49   1.000e+07   2.500e-01   2.000e+04   5.731e-04  -7.297e-02   2.058e-03   2.850e+05   8.734e+05  -8.232e+03   8.735e+05   2.849e+05
       3     127      73      63       55.38       50.30   1.000e+07   2.500e-01   2.000e+04  -5.435e-03  -3.728e-02   7.534e-02   2.143e+05   4.691e+05  -3.014e+05   6.689e+05   1.451e+04
       4       8       7     153       50.25       38.74   1.000e+07   2.500e-01   2.000e+04   2.132e-02  -1.628e-02  -8.868e-03  -1.908e+05   1.101e+05   3.547e+04   1.142e+05  -1.949e+05
       5      30      71       5       43.25       38.68   1.000e+07   2.500e-01   2.000e+04  -2.614e-02  -6.090e-02   1.866e-01   5.573e+05   8.354e+05  -7.463e+05   1.455e+06  -6.272e+04
       6     100      24      23       45.84       49.33   1.000e+07   2.500e-01   2.000e+04  -1.458e-02  -1.997e-02  -5.458e-02   2.548e+05   2.980e+05   2.183e+05   4.958e+05   5.704e+04
       7      34      33      75       63.18       44.19   1.000e+07   2.500e-01   2.000e+04  -1.601e-02  -6.708e-02  -4.611e-03   4.605e+05   8.690e+05   1.845e+04   8.698e+05   4.596e+05
       8      71       6       5       44.58       38.68   1.000e+07   2.500e-01   2.000e+04   1.464e-04  -2.095e-02   4.714e-02   8.203e+04   2.508e+05  -1.886e+05   3.730e+05  -4.019e+04
       9      20     127      21       54.12       49.26   1.000e+07   2.500e-01   2.000e+04  -1.000e-02  -2.383e-02   6.063e-02   2.153e+05   3.259e+05  -2.425e+05   5.194e+05   2.190e+04
      10     153      98       8       51.50       37.76   1.000e+07   2.500e-01   2.000e+04  -6.445e-03  -2.568e-03  -1.850e-02   8.761e+04   5.660e+04   7.399e+04   1.477e+05  -3.490e+03
      11      71      83       6       45.50       37.43   1.000e+07   2.500e-01   2.000e+04  -1.671e-02  -1.160e-02   6.226e-02   2.469e+05   2.061e+05  -2.490e+05   4.764e+05  -2.336e+04
      12     155      72     154       34.43       39.67   1.000e+07   2.500e-01   2.000e+04  -1.317e-03  -8.036e-02  -5.375e-03   3.373e+05   9.696e+05   2.150e+04   9.704e+05   3.365e+05
      13      52      67      64       53.03       32.96   1.000e+07   2.500e-01   2.000e+04  -1.794e-02  -4.362e-02  -4.085e-02   3.897e+05   5.952e+05   1.634e+05   6.855e+05   2.995e+05
      14      29      28      96       42.14       44.41   1.000e+07   2.500e-01   2.000e+04   3.526e-02  -1.394e-01  -6.879e-02   1.345e+05   1.532e+06   2.752e+05   1.584e+06   8.226e+04
      15     100     101      59       45.72       51.56   1.000e+07   2.500e-01   2.000e+04  -9.085e-03  -2.161e-02  -4.506e-02   1.954e+05   2.956e+05   1.802e+05   4.326e+05   5.847e+04
      16     116      50      59       41.84       52.54   1.000e+07   2.500e-01   2.000e+04   6.481e-03  -5.330e-02  -4.335e-02   1.354e+05   6.137e+05   1.734e+05   6.699e+05   7.918e+04
      17     127     128      21       53.86       50.24   1.000e+07   2.500e-01   2.000e+04  -1.417e-02  -1.543e-02   6.274e-02   2.318e+05   2.419e+05  -2.509e+05   4.878e+05  -1.417e+04
      18      61      87      85       32.93       27.28   1.000e+07   2.500e-01   2.000e+04   7.343e-03  -9.460e-02   1.380e-02   2.903e+05   1.106e+06  -5.521e+04   1.110e+06   2.866e+05
      19      46     117      45       34.30       58.74   1.000e+07   2.500e-01   2.000e+04   2.946e-03  -4.234e-02  -9.726e-03   1.340e+05   4.963e+05   3.891e+04   5.004e+05   1.299e+05
      20      95      26      78       43.35       47.52   1.000e+07   2.500e-01   2.000e+04  -1.277e-03  -5.961e-02  -1.023e-01   2.538e+05   7.204e+05   4.094e+05   9.583e+05   1.589e+04
      21     118     119     121       37.54       73.92   1.000e+07   2.500e-01   2.000e+04  -1.148e-04  -7.794e-03  -1.079e-02   3.256e+04   9.399e+04   4.316e+04   1.163e+05   1.030e+04
      22     148      27      95       42.88       46.54   1.000e+07   2.500e-01   2.000e+04   1.368e-02  -7.845e-02  -9.323e-02   1.497e+05   8.867e+05   3.729e+05   1.042e+06  -6.105e+03
      23      66     125     100       44.40       49.68   1.000e+07   2.500e-01   2.000e+04  -3.241e-03  -3.756e-02  -6.480e-02   1.891e+05   4.637e+05   2.592e+05   6.197e+05   3.311e+04
      24     187      45     188       24.66       64.64   1.000e+07   2.500e-01   2.000e+04   1.486e-03  -2.474e-02  -6.167e-03   8.111e+04   2.909e+05   2.467e+04   2.937e+05   7.824e+04
      25      44     102     136       24.44       46.00   1.000e+07   2.500e-01   2.000e+04  -3.028e-03  -5.712e-02   4.198e-04   2.648e+05   6.975e+05  -1.679e+03   6.975e+05   2.648e+05
      26      50      57      66       41.87       49.52   1.000e+07   2.500e-01   2.000e+04   9.875e-03  -7.500e-02  -4.537e-02   1.815e+05   8.604e+05   1.815e+05   9.059e+05   1.360e+05
      27     113      60      79       74.03       37.13   1.000e+07   2.500e-01   2.000e+04   1.938e-03  -7.572e-02   1.304e-03   2.796e+05   9.008e+05  -5.215e+03   9.009e+05   2.796e+05
      28     109     107      48       83.67       46.23   1.000e+07   2.500e-01   2.000e+04  -9.841e-04  -5.970e-02   5.187e-04   2.506e+05   7.203e+05  -2.075e+03   7.203e+05   2.506e+05
      29      90      70      67       59.85       32.51   1.000e+07   2.500e-01   2.000e+04   8.609e-03  -7.824e-02  -3.912e-02   2.096e+05   9.044e+05   1.565e+05   9.380e+05   1.760e+05
      30      94      18     123       56.52       47.42   1.000e+07   2.500e-01   2.000e+04   2.231e-03  -6.125e-02   9.856e-02   2.182e+05   7.261e+05  -3.942e+05   9.411e+05   3.235e+03
      31      92     136     102       28.07       49.07   1.000e+07   2.500e-01   2.000e+04   1.286e-03  -5.816e-02  -8.915e-04   2.172e+05   6.928e+05   3.566e+03   6.928e+05   2.172e+05
      32     131     132     130       57.24       57.90   1.000e+07   2.500e-01   2.000e+04  -1.768e-04  -2.762e-02   2.730e-02   1.126e+05   3.322e+05  -1.092e+05   3.772e+05   6.756e+04
      33      14      10      11       59.17       39.17   1.000e+07   2.500e-01   2.000e+04   1.483e-02  -1.103e-01  -4.964e-02   2.634e+05   1.265e+06   1.986e+05   1.303e+06   2.255e+05
      34       9       8      98       52.75       38.51   1.000e+07   2.500e-01   2.000e+04   2.859e-03  -1.272e-02  -3.857e-02   1.658e+04   1.412e+05   1.543e+05   2.453e+05  -8.752e+04
      35      15      11      12       59.17       41.50   1.000e+07   2.500e-01   2.000e+04   2.404e-02  -1.294e-01  -2.200e-02   2.291e+05   1.456e+06   8.801e+04   1.463e+06   2.228e+05
      36      11      15      14       58.33       40.67   1.000e+07   2.500e-01   2.000e+04   2.275e-02  -1.812e-01  -7.507e-02   4.517e+05   2.083e+06   3.003e+05   2.137e+06   3.982e+05
      37      10      31      11       60.67       39.17   1.000e+07   2.500e-01   2.000e+04   1.408e-02  -1.103e-01   2.866e-02   2.725e+05   1.268e+06  -1.146e+05   1.281e+06   2.594e+05
      38     165      84      72       38.80       34.69   1.000e+07   2.500e-01   2.000e+04   1.104e-02  -8.702e-02   2.489e-02   2.156e+05   1.000e+06  -9.955e+04   1.012e+06   2.031e+05
